#,Country,Completed Tertiary Education
1,South Korea,69.29%
2,Canada,66.36%
3,Japan,64.81%
4,Luxembourg,63.12%
5,Ireland,62.88%
6,Russia,62.09%
7,Lithuania,57.48%
8,United Kingdom,57.47%
9,Netherlands,55.60%
10,Norway,55.03%
11,Australia,54.31%
12,Switzerland,52.27%
13,United States of America,51.17%
14,Belgium,50.87%
15,France,50.26%
16,Sweden,49.22%
17,Denmark,49.04%
18,Spain,48.73%
19,Slovenia,47.95%
20,Portugal,47.45%
21,United Arab Emirates,47.20%
22,Israel,46.01%
23,Latvia,45.50%
24,New Zealand,45.32%
25,Greece,44.18%
26,Estonia,43.18%
27,Austria,42.44%
28,Iceland,41.92%
29,Poland,40.64%
30,Chile,40.51%
31,Finland,40.06%
32,Turkey,39.83%
33,Slovakia,39.50%
34,Germany,35.88%
35,People's Republic of China,35.80%
36,Czech Republic,35.04%
37,Kazakhstan,34.10%
38,Hungary,32.91%
39,Mongolia,32.60%
40,Colombia,30.53%
41,Costa Rica,30.26%
42,Cyprus,29.80%
43,Georgia,28.40%
44,Belarus,28.30%
45,Italy,28.27%
46,Mexico,27.06%
47,Bolivia,26.80%
48,Bulgaria,26.10%
49,Saudi Arabia,26%
50,Venezuela,25.10%
51,Philippines,24.40%
52,Armenia,24.20%
53,Bahrain,23.30%
54,Brazil,23.03%
55,Malta,21.80%
56,Andorra,21%
57,India,20.50%
58,Moldova,20.10%
59,Argentina,19.03%
60,Qatar,19%
61,Indonesia,18.66%
62,Iran,18.20%
63,Oman,17.10%
64,Uzbekistan,16.40%
65,Azerbaijan,15.70%
66,Thailand,15.60%
67,The Bahamas,15.20%
68,South Africa,14.85%
69,Bangladesh,14.10%
70,Albania,12.90%
71,Aruba,12.80%
72,Malaysia,12.40%
73,Uruguay,11.80%
74,Kuwait,11.10%
75,Bosnia and Herzegovina,10.60%
76,Vietnam,10.20%
77,Myanmar,9.30%
78,Nigeria,9%
79,El Salvador,8.40%
80,Belize,7.90%
81,Guinea,6.20%
82,Fiji,5.20%
83,Nepal,4.60%
84,Guatemala,4.30%
85,Rwanda,4.10%
86,South Sudan,3.80%
87,Zimbabwe,3.30%
88,Afghanistan,3.10%
89,Madagascar,2.80%
90,Senegal,2.80%
91,Mauritania,2.50%
92,Burkina Faso,2.10%
93,Mozambique,1.80%
94,Uganda,1.70%
95,Mali,1.60%
96,Niger,1%
97,Burundi,0.90%